Bytes;Iterations;Time;Bandwidth
0;1000;7.205958e-05;0.0000
1;1000;7.269268e-05;0.0131
2;1000;7.503002e-05;0.0254
4;1000;7.045239e-05;0.0541
8;1000;5.761340e-05;0.1324
16;1000;6.411243e-05;0.2380
32;1000;7.328277e-05;0.4164
64;1000;6.872683e-05;0.8881
128;1000;7.149832e-05;1.7073
256;1000;7.668840e-05;3.1835
512;1000;7.934586e-05;6.1538
1024;1000;8.395134e-05;11.6325
2048;1000;8.507236e-05;22.9584
4096;1000;9.066979e-05;43.0822
8192;1000;1.426106e-04;54.7820
16384;1000;1.924114e-04;81.2062
32768;1000;2.536032e-04;123.2240
65536;1000;4.103516e-04;152.3084
131072;100;6.869963e-04;181.9515
262144;100;2.471655e-03;101.1468
524288;100;4.756249e-03;105.1248
1048576;100;9.176384e-03;108.9754
2097152;20;9.725226e-03;205.6507
4194304;20;3.514720e-02;113.8071
8388608;20;6.454735e-02;123.9400
16777216;20;1.386677e-01;115.3837
