Processes;Elements;Time;GlobalMin
1;1000000;0.001175;-2147474085
2;1000000;0.000563;-2147474085
4;1000000;0.000300;-2147474085
8;1000000;0.000283;-2147474085
16;1000000;0.000107;-2147474085
32;1000000;0.017613;-2147474085
1;10000000;0.010244;-2147483030
2;10000000;0.005224;-2147483030
4;10000000;0.002644;-2147483030
8;10000000;0.001355;-2147483030
16;10000000;0.000677;-2147483030
32;10000000;0.011339;-2147483030
