Processes;Elements;Time;Result
1;1000000;0.002100;4.0431e+06
2;1000000;0.001490;4.0807e+06
4;1000000;0.002523;2.2539e+06
8;1000000;0.000424;2.3143e+06
16;1000000;0.000351;-2.0599e+04
32;1000000;0.003651;-3.5362e+06
1;10000000;0.019258;2.5574e+07
2;10000000;0.016420;2.3895e+07
4;10000000;0.008138;1.9675e+07
8;10000000;0.006995;1.1076e+07
16;10000000;0.008708;-1.1211e+06
32;10000000;0.003915;-1.9361e+06
